Logging to logs/selfsup_mamba_20251022-151808
GPU is available
Using device: cuda
training lstm
[110] train=2.0927e-01 | val=1.4075e+00 | L=9.52e-02 E=3.25e-02 Dyn=1.28e+01 | eig-ratio-L2=1.324e-01 axis-align=0.882
[111] train=2.1608e-01 | val=1.5118e+00 | L=8.94e-02 E=2.51e-02 Dyn=1.40e+01 | eig-ratio-L2=1.337e-01 axis-align=0.885
[112] train=2.0779e-01 | val=1.5951e+00 | L=9.50e-02 E=3.25e-02 Dyn=1.47e+01 | eig-ratio-L2=1.328e-01 axis-align=0.887
[113] train=2.0166e-01 | val=1.3008e+00 | L=9.27e-02 E=2.76e-02 Dyn=1.18e+01 | eig-ratio-L2=1.331e-01 axis-align=0.884
[114] train=2.1593e-01 | val=1.2403e+00 | L=9.24e-02 E=3.21e-02 Dyn=1.12e+01 | eig-ratio-L2=1.277e-01 axis-align=0.883
[115] train=1.9877e-01 | val=1.3469e+00 | L=8.99e-02 E=2.84e-02 Dyn=1.23e+01 | eig-ratio-L2=1.308e-01 axis-align=0.891
[116] train=1.9843e-01 | val=1.4375e+00 | L=9.43e-02 E=3.00e-02 Dyn=1.31e+01 | eig-ratio-L2=1.299e-01 axis-align=0.884
[117] train=2.2484e-01 | val=1.1411e+00 | L=9.16e-02 E=3.10e-02 Dyn=1.02e+01 | eig-ratio-L2=1.304e-01 axis-align=0.891
[118] train=1.8935e-01 | val=1.4423e+00 | L=9.47e-02 E=2.92e-02 Dyn=1.32e+01 | eig-ratio-L2=1.323e-01 axis-align=0.886
[119] train=1.9508e-01 | val=1.5989e+00 | L=9.13e-02 E=2.91e-02 Dyn=1.48e+01 | eig-ratio-L2=1.321e-01 axis-align=0.883
[120] train=2.0115e-01 | val=1.3051e+00 | L=9.09e-02 E=2.97e-02 Dyn=1.18e+01 | eig-ratio-L2=1.290e-01 axis-align=0.883
[121] train=1.9932e-01 | val=1.4376e+00 | L=9.47e-02 E=3.64e-02 Dyn=1.31e+01 | eig-ratio-L2=1.284e-01 axis-align=0.880
[122] train=1.9850e-01 | val=1.4124e+00 | L=9.13e-02 E=3.56e-02 Dyn=1.29e+01 | eig-ratio-L2=1.302e-01 axis-align=0.880
[123] train=2.1267e-01 | val=1.4107e+00 | L=8.98e-02 E=3.05e-02 Dyn=1.29e+01 | eig-ratio-L2=1.315e-01 axis-align=0.885
[124] train=2.0112e-01 | val=1.3227e+00 | L=9.17e-02 E=3.26e-02 Dyn=1.20e+01 | eig-ratio-L2=1.345e-01 axis-align=0.885
[125] train=1.8477e-01 | val=1.4693e+00 | L=9.31e-02 E=3.19e-02 Dyn=1.34e+01 | eig-ratio-L2=1.282e-01 axis-align=0.887
[126] train=1.9252e-01 | val=1.7670e+00 | L=9.80e-02 E=3.21e-02 Dyn=1.64e+01 | eig-ratio-L2=1.283e-01 axis-align=0.887
[127] train=1.9180e-01 | val=1.5536e+00 | L=9.49e-02 E=2.83e-02 Dyn=1.43e+01 | eig-ratio-L2=1.280e-01 axis-align=0.877
[128] train=1.9024e-01 | val=1.4195e+00 | L=9.35e-02 E=3.14e-02 Dyn=1.29e+01 | eig-ratio-L2=1.279e-01 axis-align=0.882
