Logging to logs/selfsup_mamba_20251022-093745
GPU is available
Using device: cuda
training lstm
[94] train=7.0063e-02 | val=1.7495e-01 | L=7.76e-02 E=2.44e-02 Dyn=7.29e-01 | eig-ratio-L2=1.482e-01 axis-align=0.887
[95] train=7.2280e-02 | val=1.9298e-01 | L=7.92e-02 E=3.08e-02 Dyn=8.30e-01 | eig-ratio-L2=1.413e-01 axis-align=0.886
[96] train=6.9283e-02 | val=1.8356e-01 | L=7.48e-02 E=2.82e-02 Dyn=8.05e-01 | eig-ratio-L2=1.479e-01 axis-align=0.884
[97] train=7.0610e-02 | val=1.8151e-01 | L=7.58e-02 E=2.73e-02 Dyn=7.84e-01 | eig-ratio-L2=1.465e-01 axis-align=0.888
[98] train=7.0423e-02 | val=1.8469e-01 | L=7.60e-02 E=3.02e-02 Dyn=7.85e-01 | eig-ratio-L2=1.486e-01 axis-align=0.886
[99] train=7.6497e-02 | val=1.9189e-01 | L=7.46e-02 E=3.07e-02 Dyn=8.66e-01 | eig-ratio-L2=1.453e-01 axis-align=0.891
[100] train=6.9312e-02 | val=1.8456e-01 | L=7.52e-02 E=2.90e-02 Dyn=8.04e-01 | eig-ratio-L2=1.463e-01 axis-align=0.883
[101] train=6.8589e-02 | val=1.7758e-01 | L=7.81e-02 E=2.59e-02 Dyn=7.36e-01 | eig-ratio-L2=1.429e-01 axis-align=0.885
[102] train=6.9665e-02 | val=1.7305e-01 | L=7.75e-02 E=2.50e-02 Dyn=7.06e-01 | eig-ratio-L2=1.487e-01 axis-align=0.885
[103] train=6.8533e-02 | val=1.9525e-01 | L=7.81e-02 E=3.23e-02 Dyn=8.48e-01 | eig-ratio-L2=1.470e-01 axis-align=0.889
[104] train=6.8782e-02 | val=1.9508e-01 | L=7.82e-02 E=3.23e-02 Dyn=8.46e-01 | eig-ratio-L2=1.467e-01 axis-align=0.886
[105] train=6.7857e-02 | val=1.7558e-01 | L=7.70e-02 E=2.67e-02 Dyn=7.19e-01 | eig-ratio-L2=1.449e-01 axis-align=0.888
[106] train=6.8425e-02 | val=1.7723e-01 | L=7.62e-02 E=2.69e-02 Dyn=7.41e-01 | eig-ratio-L2=1.448e-01 axis-align=0.889
[107] train=6.8863e-02 | val=1.7780e-01 | L=7.46e-02 E=2.61e-02 Dyn=7.71e-01 | eig-ratio-L2=1.481e-01 axis-align=0.886
[108] train=6.7670e-02 | val=1.6845e-01 | L=7.38e-02 E=2.39e-02 Dyn=7.07e-01 | eig-ratio-L2=1.475e-01 axis-align=0.888
[109] train=6.8739e-02 | val=1.8925e-01 | L=7.74e-02 E=2.87e-02 Dyn=8.32e-01 | eig-ratio-L2=1.443e-01 axis-align=0.890
[110] train=6.7134e-02 | val=1.9675e-01 | L=7.98e-02 E=2.63e-02 Dyn=9.07e-01 | eig-ratio-L2=1.433e-01 axis-align=0.891
[111] train=7.1458e-02 | val=1.6559e-01 | L=7.60e-02 E=2.30e-02 Dyn=6.66e-01 | eig-ratio-L2=1.449e-01 axis-align=0.893
[112] train=6.7317e-02 | val=1.7305e-01 | L=7.57e-02 E=2.61e-02 Dyn=7.12e-01 | eig-ratio-L2=1.451e-01 axis-align=0.886
[113] train=6.6595e-02 | val=1.6616e-01 | L=7.61e-02 E=2.43e-02 Dyn=6.58e-01 | eig-ratio-L2=1.430e-01 axis-align=0.886
[114] train=6.6939e-02 | val=1.6300e-01 | L=7.41e-02 E=2.16e-02 Dyn=6.73e-01 | eig-ratio-L2=1.460e-01 axis-align=0.890
[115] train=6.8177e-02 | val=1.5989e-01 | L=7.34e-02 E=2.23e-02 Dyn=6.43e-01 | eig-ratio-L2=1.432e-01 axis-align=0.890
[116] train=6.6382e-02 | val=1.7958e-01 | L=7.57e-02 E=2.48e-02 Dyn=7.91e-01 | eig-ratio-L2=1.459e-01 axis-align=0.891
[117] train=6.6254e-02 | val=1.6350e-01 | L=7.34e-02 E=2.17e-02 Dyn=6.84e-01 | eig-ratio-L2=1.474e-01 axis-align=0.888
[118] train=6.7599e-02 | val=1.7206e-01 | L=7.92e-02 E=2.48e-02 Dyn=6.81e-01 | eig-ratio-L2=1.458e-01 axis-align=0.886
[119] train=6.6509e-02 | val=1.7719e-01 | L=7.79e-02 E=2.57e-02 Dyn=7.35e-01 | eig-ratio-L2=1.422e-01 axis-align=0.887
[120] train=6.6529e-02 | val=1.6323e-01 | L=7.53e-02 E=2.16e-02 Dyn=6.63e-01 | eig-ratio-L2=1.463e-01 axis-align=0.891
[121] train=6.6145e-02 | val=1.7120e-01 | L=7.68e-02 E=2.50e-02 Dyn=6.94e-01 | eig-ratio-L2=1.443e-01 axis-align=0.890
[122] train=6.6186e-02 | val=1.6310e-01 | L=7.54e-02 E=2.02e-02 Dyn=6.75e-01 | eig-ratio-L2=1.445e-01 axis-align=0.886
[123] train=6.6718e-02 | val=1.7308e-01 | L=7.94e-02 E=2.53e-02 Dyn=6.84e-01 | eig-ratio-L2=1.453e-01 axis-align=0.892
[124] train=6.5089e-02 | val=1.9020e-01 | L=7.87e-02 E=2.72e-02 Dyn=8.44e-01 | eig-ratio-L2=1.416e-01 axis-align=0.893
[125] train=6.7634e-02 | val=1.8468e-01 | L=7.99e-02 E=3.05e-02 Dyn=7.42e-01 | eig-ratio-L2=1.442e-01 axis-align=0.895
[126] train=6.5634e-02 | val=1.6421e-01 | L=7.58e-02 E=2.37e-02 Dyn=6.47e-01 | eig-ratio-L2=1.418e-01 axis-align=0.895
[127] train=6.4930e-02 | val=1.6757e-01 | L=7.64e-02 E=2.51e-02 Dyn=6.61e-01 | eig-ratio-L2=1.443e-01 axis-align=0.888
[128] train=6.4266e-02 | val=1.8774e-01 | L=7.80e-02 E=2.56e-02 Dyn=8.41e-01 | eig-ratio-L2=1.474e-01 axis-align=0.895
[129] train=6.8811e-02 | val=1.7911e-01 | L=7.81e-02 E=2.45e-02 Dyn=7.65e-01 | eig-ratio-L2=1.462e-01 axis-align=0.890
[130] train=6.5505e-02 | val=1.7553e-01 | L=7.79e-02 E=2.62e-02 Dyn=7.15e-01 | eig-ratio-L2=1.420e-01 axis-align=0.890
[131] train=6.4848e-02 | val=1.7099e-01 | L=7.68e-02 E=2.21e-02 Dyn=7.20e-01 | eig-ratio-L2=1.442e-01 axis-align=0.888
[132] train=6.5724e-02 | val=1.9001e-01 | L=7.75e-02 E=2.65e-02 Dyn=8.60e-01 | eig-ratio-L2=1.425e-01 axis-align=0.889
[133] train=6.5253e-02 | val=1.7701e-01 | L=7.59e-02 E=2.25e-02 Dyn=7.86e-01 | eig-ratio-L2=1.461e-01 axis-align=0.891
[134] train=6.4824e-02 | val=1.8221e-01 | L=7.85e-02 E=2.66e-02 Dyn=7.71e-01 | eig-ratio-L2=1.472e-01 axis-align=0.887
[135] train=6.7135e-02 | val=1.7400e-01 | L=7.71e-02 E=2.45e-02 Dyn=7.24e-01 | eig-ratio-L2=1.413e-01 axis-align=0.886
[136] train=6.4289e-02 | val=1.9184e-01 | L=7.72e-02 E=2.72e-02 Dyn=8.75e-01 | eig-ratio-L2=1.416e-01 axis-align=0.888
[137] train=6.5829e-02 | val=1.7639e-01 | L=7.55e-02 E=2.64e-02 Dyn=7.45e-01 | eig-ratio-L2=1.427e-01 axis-align=0.885
[138] train=6.4317e-02 | val=1.7367e-01 | L=7.77e-02 E=2.49e-02 Dyn=7.11e-01 | eig-ratio-L2=1.450e-01 axis-align=0.885
[139] train=6.5822e-02 | val=1.8639e-01 | L=7.85e-02 E=2.34e-02 Dyn=8.45e-01 | eig-ratio-L2=1.447e-01 axis-align=0.889
[140] train=6.4722e-02 | val=1.8144e-01 | L=8.00e-02 E=2.81e-02 Dyn=7.33e-01 | eig-ratio-L2=1.439e-01 axis-align=0.889
[141] train=6.4429e-02 | val=1.7563e-01 | L=7.62e-02 E=2.58e-02 Dyn=7.36e-01 | eig-ratio-L2=1.402e-01 axis-align=0.889
[142] train=7.1060e-02 | val=1.7586e-01 | L=7.61e-02 E=2.69e-02 Dyn=7.28e-01 | eig-ratio-L2=1.461e-01 axis-align=0.891
[143] train=6.4630e-02 | val=1.8145e-01 | L=7.78e-02 E=2.65e-02 Dyn=7.71e-01 | eig-ratio-L2=1.423e-01 axis-align=0.886
[144] train=6.4035e-02 | val=1.8202e-01 | L=7.75e-02 E=2.90e-02 Dyn=7.56e-01 | eig-ratio-L2=1.448e-01 axis-align=0.890
[145] train=6.3867e-02 | val=1.9667e-01 | L=7.65e-02 E=2.93e-02 Dyn=9.09e-01 | eig-ratio-L2=1.416e-01 axis-align=0.897
[146] train=6.4439e-02 | val=1.9185e-01 | L=7.71e-02 E=2.66e-02 Dyn=8.82e-01 | eig-ratio-L2=1.421e-01 axis-align=0.899
[147] train=6.3061e-02 | val=1.7755e-01 | L=7.84e-02 E=2.75e-02 Dyn=7.17e-01 | eig-ratio-L2=1.428e-01 axis-align=0.892
[148] train=6.2891e-02 | val=1.9563e-01 | L=8.00e-02 E=2.60e-02 Dyn=8.96e-01 | eig-ratio-L2=1.433e-01 axis-align=0.895
[149] train=6.3794e-02 | val=1.8074e-01 | L=7.47e-02 E=2.87e-02 Dyn=7.73e-01 | eig-ratio-L2=1.452e-01 axis-align=0.890
[150] train=6.3607e-02 | val=1.8758e-01 | L=7.94e-02 E=2.60e-02 Dyn=8.21e-01 | eig-ratio-L2=1.426e-01 axis-align=0.890
[151] train=6.4982e-02 | val=1.8167e-01 | L=7.63e-02 E=2.58e-02 Dyn=7.96e-01 | eig-ratio-L2=1.440e-01 axis-align=0.891
[152] train=6.4021e-02 | val=1.7896e-01 | L=7.64e-02 E=2.62e-02 Dyn=7.64e-01 | eig-ratio-L2=1.456e-01 axis-align=0.893
[153] train=6.8123e-02 | val=1.7745e-01 | L=7.67e-02 E=2.77e-02 Dyn=7.31e-01 | eig-ratio-L2=1.437e-01 axis-align=0.888
[154] train=6.2395e-02 | val=1.7577e-01 | L=7.73e-02 E=2.57e-02 Dyn=7.27e-01 | eig-ratio-L2=1.439e-01 axis-align=0.893
[155] train=6.1764e-02 | val=1.6134e-01 | L=7.75e-02 E=2.04e-02 Dyn=6.34e-01 | eig-ratio-L2=1.422e-01 axis-align=0.890
[156] train=6.2750e-02 | val=1.6980e-01 | L=7.61e-02 E=2.41e-02 Dyn=6.96e-01 | eig-ratio-L2=1.445e-01 axis-align=0.891
[157] train=6.2904e-02 | val=1.9546e-01 | L=7.89e-02 E=2.71e-02 Dyn=8.95e-01 | eig-ratio-L2=1.415e-01 axis-align=0.891
[158] train=6.3845e-02 | val=1.8334e-01 | L=7.55e-02 E=2.89e-02 Dyn=7.89e-01 | eig-ratio-L2=1.446e-01 axis-align=0.890
[159] train=6.2607e-02 | val=1.9004e-01 | L=7.91e-02 E=3.07e-02 Dyn=8.02e-01 | eig-ratio-L2=1.410e-01 axis-align=0.895
[160] train=6.1807e-02 | val=1.7539e-01 | L=7.69e-02 E=2.60e-02 Dyn=7.24e-01 | eig-ratio-L2=1.426e-01 axis-align=0.886
[161] train=6.3912e-02 | val=1.7244e-01 | L=7.61e-02 E=2.58e-02 Dyn=7.06e-01 | eig-ratio-L2=1.441e-01 axis-align=0.892
[162] train=6.1711e-02 | val=1.7101e-01 | L=7.63e-02 E=2.51e-02 Dyn=6.96e-01 | eig-ratio-L2=1.424e-01 axis-align=0.889
[163] train=6.1993e-02 | val=1.8868e-01 | L=7.90e-02 E=2.84e-02 Dyn=8.13e-01 | eig-ratio-L2=1.437e-01 axis-align=0.890
[164] train=6.2444e-02 | val=1.7576e-01 | L=7.70e-02 E=2.53e-02 Dyn=7.35e-01 | eig-ratio-L2=1.440e-01 axis-align=0.886
[165] train=6.1874e-02 | val=1.7534e-01 | L=7.69e-02 E=2.59e-02 Dyn=7.25e-01 | eig-ratio-L2=1.436e-01 axis-align=0.890
[166] train=6.2294e-02 | val=1.7858e-01 | L=7.75e-02 E=2.71e-02 Dyn=7.40e-01 | eig-ratio-L2=1.470e-01 axis-align=0.892
[167] train=6.5574e-02 | val=1.7031e-01 | L=7.82e-02 E=2.43e-02 Dyn=6.78e-01 | eig-ratio-L2=1.399e-01 axis-align=0.892
[168] train=6.1302e-02 | val=1.7329e-01 | L=7.81e-02 E=2.50e-02 Dyn=7.02e-01 | eig-ratio-L2=1.445e-01 axis-align=0.890
